disaster_scenario_id,trajectory_id,intensity_level,intensity_rate,demand_point_id,period,delta_hours,newly_affected_population,nominal_demand
0,0,1,0.025,0,1,30,86,774
0,0,1,0.025,0,2,24,175,1575
0,0,1,0.025,0,3,18,86,774
9,0,2,0.05,0,1,30,171,1539
9,0,2,0.05,0,2,24,350,3150
9,0,2,0.05,0,3,18,171,1539
18,0,3,0.075,0,1,30,257,2313
18,0,3,0.075,0,2,24,525,4725
18,0,3,0.075,0,3,18,257,2313
27,0,4,0.125,0,1,30,428,3852
27,0,4,0.125,0,2,24,875,7875
27,0,4,0.125,0,3,18,428,3852
36,0,5,0.25,0,1,30,857,7713
36,0,5,0.25,0,2,24,1751,15759
36,0,5,0.25,0,3,18,857,7713
0,0,1,0.025,1,1,30,158,1422
0,0,1,0.025,1,2,24,323,2907
0,0,1,0.025,1,3,18,158,1422
9,0,2,0.05,1,1,30,316,2844
9,0,2,0.05,1,2,24,645,5805
9,0,2,0.05,1,3,18,316,2844
18,0,3,0.075,1,1,30,474,4266
18,0,3,0.075,1,2,24,968,8712
18,0,3,0.075,1,3,18,474,4266
27,0,4,0.125,1,1,30,790,7110
27,0,4,0.125,1,2,24,1613,14517
27,0,4,0.125,1,3,18,790,7110
36,0,5,0.25,1,1,30,1579,14211
36,0,5,0.25,1,2,24,3227,29043
36,0,5,0.25,1,3,18,1579,14211
0,0,1,0.025,3,1,30,150,1350
0,0,1,0.025,3,2,24,306,2754
0,0,1,0.025,3,3,18,150,1350
9,0,2,0.05,3,1,30,299,2691
9,0,2,0.05,3,2,24,612,5508
9,0,2,0.05,3,3,18,299,2691
18,0,3,0.075,3,1,30,449,4041
18,0,3,0.075,3,2,24,917,8253
18,0,3,0.075,3,3,18,449,4041
27,0,4,0.125,3,1,30,748,6732
27,0,4,0.125,3,2,24,1529,13761
27,0,4,0.125,3,3,18,748,6732
36,0,5,0.25,3,1,30,1497,13473
36,0,5,0.25,3,2,24,3058,27522
36,0,5,0.25,3,3,18,1497,13473
0,0,1,0.025,6,1,30,70,630
0,0,1,0.025,6,2,24,143,1287
0,0,1,0.025,6,3,18,70,630
9,0,2,0.05,6,1,30,140,1260
9,0,2,0.05,6,2,24,287,2583
9,0,2,0.05,6,3,18,140,1260
18,0,3,0.075,6,1,30,210,1890
18,0,3,0.075,6,2,24,430,3870
18,0,3,0.075,6,3,18,210,1890
27,0,4,0.125,6,1,30,351,3159
27,0,4,0.125,6,2,24,717,6453
27,0,4,0.125,6,3,18,351,3159
36,0,5,0.25,6,1,30,702,6318
36,0,5,0.25,6,2,24,1434,12906
36,0,5,0.25,6,3,18,702,6318
0,0,1,0.025,9,1,30,154,1386
0,0,1,0.025,9,2,24,315,2835
0,0,1,0.025,9,3,18,154,1386
9,0,2,0.05,9,1,30,308,2772
9,0,2,0.05,9,2,24,630,5670
9,0,2,0.05,9,3,18,308,2772
18,0,3,0.075,9,1,30,463,4167
18,0,3,0.075,9,2,24,945,8505
18,0,3,0.075,9,3,18,463,4167
27,0,4,0.125,9,1,30,771,6939
27,0,4,0.125,9,2,24,1575,14175
27,0,4,0.125,9,3,18,771,6939
36,0,5,0.25,9,1,30,1542,13878
36,0,5,0.25,9,2,24,3150,28350
36,0,5,0.25,9,3,18,1542,13878
0,0,1,0.025,12,1,30,176,1584
0,0,1,0.025,12,2,24,359,3231
0,0,1,0.025,12,3,18,176,1584
9,0,2,0.05,12,1,30,352,3168
9,0,2,0.05,12,2,24,718,6462
9,0,2,0.05,12,3,18,352,3168
18,0,3,0.075,12,1,30,527,4743
18,0,3,0.075,12,2,24,1078,9702
18,0,3,0.075,12,3,18,527,4743
27,0,4,0.125,12,1,30,879,7911
27,0,4,0.125,12,2,24,1796,16164
27,0,4,0.125,12,3,18,879,7911
36,0,5,0.25,12,1,30,1758,15822
36,0,5,0.25,12,2,24,3592,32328
36,0,5,0.25,12,3,18,1758,15822
0,0,1,0.025,13,1,30,62,558
0,0,1,0.025,13,2,24,127,1143
0,0,1,0.025,13,3,18,62,558
9,0,2,0.05,13,1,30,124,1116
9,0,2,0.05,13,2,24,254,2286
9,0,2,0.05,13,3,18,124,1116
18,0,3,0.075,13,1,30,186,1674
18,0,3,0.075,13,2,24,381,3429
18,0,3,0.075,13,3,18,186,1674
27,0,4,0.125,13,1,30,311,2799
27,0,4,0.125,13,2,24,635,5715
27,0,4,0.125,13,3,18,311,2799
36,0,5,0.25,13,1,30,621,5589
36,0,5,0.25,13,2,24,1269,11421
36,0,5,0.25,13,3,18,621,5589
0,0,1,0.025,15,1,30,167,1503
0,0,1,0.025,15,2,24,340,3060
0,0,1,0.025,15,3,18,167,1503
9,0,2,0.05,15,1,30,333,2997
9,0,2,0.05,15,2,24,681,6129
9,0,2,0.05,15,3,18,333,2997
18,0,3,0.075,15,1,30,500,4500
18,0,3,0.075,15,2,24,1021,9189
18,0,3,0.075,15,3,18,500,4500
27,0,4,0.125,15,1,30,833,7497
27,0,4,0.125,15,2,24,1702,15318
27,0,4,0.125,15,3,18,833,7497
36,0,5,0.25,15,1,30,1666,14994
36,0,5,0.25,15,2,24,3403,30627
36,0,5,0.25,15,3,18,1666,14994
0,0,1,0.025,16,1,30,200,1800
0,0,1,0.025,16,2,24,408,3672
0,0,1,0.025,16,3,18,200,1800
9,0,2,0.05,16,1,30,399,3591
9,0,2,0.05,16,2,24,816,7344
9,0,2,0.05,16,3,18,399,3591
18,0,3,0.075,16,1,30,599,5391
18,0,3,0.075,16,2,24,1224,11016
18,0,3,0.075,16,3,18,599,5391
27,0,4,0.125,16,1,30,999,8991
27,0,4,0.125,16,2,24,2040,18360
27,0,4,0.125,16,3,18,999,8991
36,0,5,0.25,16,1,30,1997,17973
36,0,5,0.25,16,2,24,4080,36720
36,0,5,0.25,16,3,18,1997,17973
0,0,1,0.025,17,1,30,285,2565
