trajectory_id,demand_point_id,distance_to_trajectory,impact_radius,tau
0,0,48.019835947467854,194.62,42
0,1,78.10395092441999,194.62,42
0,3,40.187893619510845,194.62,42
0,6,13.925280617640858,194.62,42
0,9,176.57189077711877,194.62,42
0,12,145.56057735754376,194.62,42
0,13,173.27709756948147,194.62,42
0,15,18.813032711658185,194.62,42
0,16,57.78126317313999,194.62,42
0,17,147.9511467883769,194.62,42
1,0,137.79042868437247,194.62,42
1,1,160.06109802979336,194.62,42
1,2,3.583676254327759,194.62,42
1,4,44.919910973213064,194.62,42
1,5,118.37639158841584,194.62,42
1,7,46.28750643734248,194.62,42
1,8,110.74759075046553,194.62,42
1,9,123.26730469671462,194.62,42
1,10,34.96879359848967,194.62,42
1,11,69.7110322627982,194.62,42
1,12,28.340857788594363,194.62,42
1,13,31.161582691748993,194.62,42
1,14,45.86361600153365,194.62,42
1,16,164.506191849654,194.62,42
1,17,167.1909188970005,194.62,42
1,18,96.61990215656655,194.62,42
1,19,41.12427330224873,194.62,42
2,0,138.56713610739118,194.62,42
2,1,160.06109802979336,194.62,42
2,2,9.470895634123378,194.62,42
2,4,35.808153346324,194.62,42
2,5,123.5526695920115,194.62,42
2,7,57.10879087624941,194.62,42
2,8,97.39260872422989,194.62,42
2,9,127.23410592304934,194.62,42
2,10,23.446280150014907,194.62,42
2,11,76.33808657432571,194.62,42
2,12,31.823272586479032,194.62,42
2,13,35.31455454399575,194.62,42
2,14,55.56524763224938,194.62,42
2,16,164.506191849654,194.62,42
2,17,170.3295896123161,194.62,42
2,18,104.05172529783391,194.62,42
2,19,17.194347641509992,194.62,42
3,0,22.455406643719794,194.62,42
3,1,132.2087083761544,194.62,42
3,2,79.51571543076503,194.62,42
3,3,48.08355759653281,194.62,42
3,4,171.33191341138163,194.62,42
3,5,118.51648339433413,194.62,42
3,6,13.925280617640858,194.62,42
3,9,79.51532747482575,194.62,42
3,11,141.61743065142133,194.62,42
3,12,10.287430579083132,194.62,42
3,13,34.97155452429265,194.62,42
3,15,19.118499198487385,194.62,42
3,16,107.6156346347835,194.62,42
3,17,75.2618988904721,194.62,42
3,18,184.258065794023,194.62,42
4,2,85.425657227211,194.62,42
4,4,7.997417411947268,194.62,42
4,7,80.43141801387792,194.62,42
4,8,95.83385280559129,194.62,42
4,10,5.035495710366866,194.62,42
4,11,142.64447625052003,194.62,42
4,12,136.96819255217733,194.62,42
4,13,128.8132462582972,194.62,42
4,14,90.55878644385804,194.62,42
4,18,161.18702827514778,194.62,42
4,19,41.12427330224873,194.62,42
5,2,88.18417983405178,194.62,42
5,4,17.125943310390653,194.62,42
5,7,94.28026511171772,194.62,42
5,8,78.34591902067385,194.62,42
5,10,9.386323242937483,194.62,42
5,11,147.752034487824,194.62,42
5,12,136.96819255217733,194.62,42
5,13,128.8132462582972,194.62,42
5,14,101.99743750963214,194.62,42
5,18,168.3325805373686,194.62,42
5,19,14.958675524812959,194.62,42
6,0,59.81375853916875,194.62,42
6,1,150.26190076345992,194.62,42
6,2,18.09906295560184,194.62,42
6,3,48.46379064883175,194.62,42
6,4,35.19305889067006,194.62,42
6,5,47.76456530485265,194.62,42
6,6,13.925280617640858,194.62,42
6,7,150.620739404939,194.62,42
6,8,103.82917561959933,194.62,42
6,9,17.85778730416203,194.62,42
6,10,109.49158172146582,194.62,42
6,11,51.7283474137847,194.62,42
6,12,66.3548481768379,194.62,42
6,13,45.6491839263316,194.62,42
6,14,119.24327471916463,194.62,42
6,15,19.118499198487385,194.62,42
6,16,125.55263845622075,194.62,42
6,17,27.63212650843517,194.62,42
6,18,94.11683397147414,194.62,42
7,7,161.10085263032425,194.62,42
7,8,15.48067526845439,194.62,42
7,10,109.5723099972023,194.62,42
7,19,34.077343886924666,194.62,42
8,8,34.41552194458809,194.62,42
8,10,135.08432836323246,194.62,42
8,19,1.017150243556199,194.62,42
