disaster_scenario_id,trajectory_id,intensity_level,intensity_rate,demand_point_id,period,delta_hours,newly_affected_population,nominal_demand
0,0,1,0.025,0,1,30,161,1449
0,0,1,0.025,0,2,24,328,2952
0,0,1,0.025,0,3,18,161,1449
9,0,2,0.05,0,1,30,321,2889
9,0,2,0.05,0,2,24,656,5904
9,0,2,0.05,0,3,18,321,2889
18,0,3,0.075,0,1,30,482,4338
18,0,3,0.075,0,2,24,984,8856
18,0,3,0.075,0,3,18,482,4338
27,0,4,0.125,0,1,30,803,7227
27,0,4,0.125,0,2,24,1640,14760
27,0,4,0.125,0,3,18,803,7227
36,0,5,0.25,0,1,30,1606,14454
36,0,5,0.25,0,2,24,3281,29529
36,0,5,0.25,0,3,18,1606,14454
0,0,1,0.025,1,1,30,63,567
0,0,1,0.025,1,2,24,129,1161
0,0,1,0.025,1,3,18,63,567
9,0,2,0.05,1,1,30,127,1143
9,0,2,0.05,1,2,24,259,2331
9,0,2,0.05,1,3,18,127,1143
18,0,3,0.075,1,1,30,190,1710
18,0,3,0.075,1,2,24,388,3492
18,0,3,0.075,1,3,18,190,1710
27,0,4,0.125,1,1,30,317,2853
27,0,4,0.125,1,2,24,647,5823
27,0,4,0.125,1,3,18,317,2853
36,0,5,0.25,1,1,30,633,5697
36,0,5,0.25,1,2,24,1294,11646
36,0,5,0.25,1,3,18,633,5697
0,0,1,0.025,2,1,30,243,2187
0,0,1,0.025,2,2,24,497,4473
0,0,1,0.025,2,3,18,243,2187
9,0,2,0.05,2,1,30,487,4383
9,0,2,0.05,2,2,24,994,8946
9,0,2,0.05,2,3,18,487,4383
18,0,3,0.075,2,1,30,730,6570
18,0,3,0.075,2,2,24,1491,13419
18,0,3,0.075,2,3,18,730,6570
27,0,4,0.125,2,1,30,1217,10953
27,0,4,0.125,2,2,24,2486,22374
27,0,4,0.125,2,3,18,1217,10953
36,0,5,0.25,2,1,30,2433,21897
36,0,5,0.25,2,2,24,4972,44748
36,0,5,0.25,2,3,18,2433,21897
0,0,1,0.025,3,1,30,59,531
0,0,1,0.025,3,2,24,120,1080
0,0,1,0.025,3,3,18,59,531
9,0,2,0.05,3,1,30,118,1062
9,0,2,0.05,3,2,24,241,2169
9,0,2,0.05,3,3,18,118,1062
18,0,3,0.075,3,1,30,177,1593
18,0,3,0.075,3,2,24,361,3249
18,0,3,0.075,3,3,18,177,1593
27,0,4,0.125,3,1,30,295,2655
27,0,4,0.125,3,2,24,602,5418
27,0,4,0.125,3,3,18,295,2655
36,0,5,0.25,3,1,30,589,5301
36,0,5,0.25,3,2,24,1204,10836
36,0,5,0.25,3,3,18,589,5301
0,0,1,0.025,4,1,30,44,396
0,0,1,0.025,4,2,24,90,810
0,0,1,0.025,4,3,18,44,396
9,0,2,0.05,4,1,30,89,801
9,0,2,0.05,4,2,24,181,1629
9,0,2,0.05,4,3,18,89,801
18,0,3,0.075,4,1,30,133,1197
18,0,3,0.075,4,2,24,271,2439
18,0,3,0.075,4,3,18,133,1197
27,0,4,0.125,4,1,30,221,1989
27,0,4,0.125,4,2,24,452,4068
27,0,4,0.125,4,3,18,221,1989
36,0,5,0.25,4,1,30,443,3987
36,0,5,0.25,4,2,24,905,8145
36,0,5,0.25,4,3,18,443,3987
0,0,1,0.025,5,1,30,154,1386
0,0,1,0.025,5,2,24,315,2835
0,0,1,0.025,5,3,18,154,1386
9,0,2,0.05,5,1,30,309,2781
9,0,2,0.05,5,2,24,631,5679
9,0,2,0.05,5,3,18,309,2781
18,0,3,0.075,5,1,30,463,4167
18,0,3,0.075,5,2,24,946,8514
18,0,3,0.075,5,3,18,463,4167
27,0,4,0.125,5,1,30,772,6948
27,0,4,0.125,5,2,24,1577,14193
27,0,4,0.125,5,3,18,772,6948
36,0,5,0.25,5,1,30,1543,13887
36,0,5,0.25,5,2,24,3153,28377
36,0,5,0.25,5,3,18,1543,13887
0,0,1,0.025,6,1,30,274,2466
0,0,1,0.025,6,2,24,560,5040
0,0,1,0.025,6,3,18,274,2466
9,0,2,0.05,6,1,30,548,4932
9,0,2,0.05,6,2,24,1120,10080
9,0,2,0.05,6,3,18,548,4932
18,0,3,0.075,6,1,30,822,7398
18,0,3,0.075,6,2,24,1679,15111
18,0,3,0.075,6,3,18,822,7398
27,0,4,0.125,6,1,30,1370,12330
27,0,4,0.125,6,2,24,2799,25191
27,0,4,0.125,6,3,18,1370,12330
36,0,5,0.25,6,1,30,2740,24660
36,0,5,0.25,6,2,24,5598,50382
36,0,5,0.25,6,3,18,2740,24660
0,0,1,0.025,7,1,30,225,2025
0,0,1,0.025,7,2,24,459,4131
0,0,1,0.025,7,3,18,225,2025
9,0,2,0.05,7,1,30,449,4041
9,0,2,0.05,7,2,24,918,8262
9,0,2,0.05,7,3,18,449,4041
18,0,3,0.075,7,1,30,674,6066
18,0,3,0.075,7,2,24,1377,12393
18,0,3,0.075,7,3,18,674,6066
27,0,4,0.125,7,1,30,1124,10116
27,0,4,0.125,7,2,24,2295,20655
27,0,4,0.125,7,3,18,1124,10116
36,0,5,0.25,7,1,30,2247,20223
36,0,5,0.25,7,2,24,4591,41319
36,0,5,0.25,7,3,18,2247,20223
0,0,1,0.025,8,1,30,227,2043
0,0,1,0.025,8,2,24,465,4185
0,0,1,0.025,8,3,18,227,2043
9,0,2,0.05,8,1,30,455,4095
9,0,2,0.05,8,2,24,929,8361
9,0,2,0.05,8,3,18,455,4095
18,0,3,0.075,8,1,30,682,6138
18,0,3,0.075,8,2,24,1394,12546
18,0,3,0.075,8,3,18,682,6138
27,0,4,0.125,8,1,30,1137,10233
27,0,4,0.125,8,2,24,2323,20907
27,0,4,0.125,8,3,18,1137,10233
36,0,5,0.25,8,1,30,2274,20466
36,0,5,0.25,8,2,24,4646,41814
36,0,5,0.25,8,3,18,2274,20466
0,0,1,0.025,9,1,30,255,2295
0,0,1,0.025,9,2,24,520,4680
0,0,1,0.025,9,3,18,255,2295
9,0,2,0.05,9,1,30,509,4581
9,0,2,0.05,9,2,24,1040,9360
9,0,2,0.05,9,3,18,509,4581
18,0,3,0.075,9,1,30,764,6876
18,0,3,0.075,9,2,24,1560,14040
18,0,3,0.075,9,3,18,764,6876
27,0,4,0.125,9,1,30,1273,11457
27,0,4,0.125,9,2,24,2600,23400
27,0,4,0.125,9,3,18,1273,11457
36,0,5,0.25,9,1,30,2545,22905
36,0,5,0.25,9,2,24,5200,46800
36,0,5,0.25,9,3,18,2545,22905
0,0,1,0.025,10,1,30,107,963
0,0,1,0.025,10,2,24,220,1980
0,0,1,0.025,10,3,18,107,963
9,0,2,0.05,10,1,30,215,1935
9,0,2,0.05,10,2,24,439,3951
9,0,2,0.05,10,3,18,215,1935
18,0,3,0.075,10,1,30,322,2898
18,0,3,0.075,10,2,24,659,5931
18,0,3,0.075,10,3,18,322,2898
27,0,4,0.125,10,1,30,537,4833
27,0,4,0.125,10,2,24,1098,9882
27,0,4,0.125,10,3,18,537,4833
