node_type,node_id,x_km,y_km
MDC,0,249.535023219196,589.1905270288187
MDC,1,363.48636494285637,777.0357440329609
MDC,2,369.56910279627647,776.6784238420292
MDC,3,471.9949846583684,797.9058496069364
MDC,4,540.5939392900617,605.8934157041989
SA,0,742.1574024730264,241.09824369896717
SA,1,585.1044928253193,104.52634612985432
SA,2,171.39645375458525,214.91568762902585
SA,3,793.0654940512975,92.7789178444237
SA,4,776.7201743980247,217.76614816480964
SA,5,615.421715764245,169.77769963307318
SA,6,55.674170706768784,215.67189861297788
SA,7,17.663518085499643,98.96051999326937
SA,8,750.3123468653147,109.3915540494875
SA,9,178.5087930486735,165.67109517505014
commodity_supplier,0,201.82190249324066,87.62883892883998
commodity_supplier,1,342.7141841314731,225.16752855701986
commodity_supplier,2,676.7273926444362,194.09233725011217
commodity_supplier,3,301.0428371119731,228.44285876121052
commodity_supplier,4,473.07904489462203,135.71824005377565
commodity_supplier,5,554.1985986633629,208.93429502534838
commodity_supplier,6,713.2429052337407,218.95040604667406
commodity_supplier,7,466.5217813405006,210.32380177706034
commodity_supplier,8,132.51251383085926,99.18619255725618
commodity_supplier,9,672.0285340959493,192.83930167101477
carrier_supplier,0,659.1263381850792,114.35949330711358
carrier_supplier,1,342.3327557012851,226.33605702487245
carrier_supplier,2,210.93106262146654,158.97882803473425
carrier_supplier,3,82.66455106122653,91.87655646580515
carrier_supplier,4,315.09365960102815,169.8573367772494
carrier_supplier,5,543.8556025997113,129.6346336282228
carrier_supplier,6,604.817903386565,190.89175605771905
carrier_supplier,7,625.4179775828421,141.49349344020285
carrier_supplier,8,162.60258010411542,93.9496456119164
carrier_supplier,9,558.4264559972555,171.04729940224783
demand_point,0,770.0398257217545,179.23308610203767
demand_point,1,717.2269886801454,188.31046001438628
demand_point,2,553.5353599292416,99.8219612823046
demand_point,3,347.7794134050891,234.64569823343555
demand_point,4,425.38356001152283,228.5969335062099
demand_point,5,40.156749887110124,112.87219446470485
demand_point,6,525.6481146754907,209.01050851392182
demand_point,7,462.0938447680754,172.39469746380308
demand_point,8,439.19311651861887,112.29024780139807
demand_point,9,382.4576141938451,182.2820212617283
demand_point,10,77.91683834330011,114.89835430170992
demand_point,11,787.4226639415758,230.20784757399218
demand_point,12,689.8604212106884,186.87566624539787
demand_point,13,233.70811688565163,192.07123166393427
demand_point,14,487.53113108848584,178.1796797918658
demand_point,15,301.89642241216643,99.91534310042748
demand_point,16,716.6155787221678,177.47792572585763
demand_point,17,457.47613785079506,107.49781624043922
demand_point,18,750.8747644009654,195.2152384040223
demand_point,19,207.43005052822215,106.42468691084616
