node_type,node_id,x_km,y_km
MDC,0,689.2019233109716,700.947613828912
MDC,1,337.602898432406,578.3509962296503
MDC,2,432.4460176742726,729.0827855094218
MDC,3,307.75573163275084,696.8548965220153
MDC,4,549.0958384452524,677.4903846813593
SA,0,148.7130780773178,108.95390454861837
SA,1,213.36237389101137,134.63767671279356
SA,2,448.1423634847383,232.38421048351222
SA,3,743.2309667321356,178.49072236657025
SA,4,616.9518208956996,106.05061952904587
SA,5,731.759318825501,228.05247257087893
SA,6,555.0931269040487,107.59724025622859
SA,7,738.9759085497931,173.9963403859072
SA,8,151.13884881774237,153.11522403351617
SA,9,765.1346390544118,106.35748027579027
commodity_supplier,0,617.0725262645487,219.5332117232653
commodity_supplier,1,539.0195959138326,106.65344852996714
commodity_supplier,2,747.9283384056599,237.517404040913
commodity_supplier,3,561.2249757244789,155.08043732634377
commodity_supplier,4,544.0771231676475,133.83210499518367
commodity_supplier,5,224.2302072025473,216.21577515857467
commodity_supplier,6,704.559154595366,172.62251773460306
commodity_supplier,7,70.93025444777706,125.79032595602544
commodity_supplier,8,324.73311196184505,141.5033944344721
commodity_supplier,9,612.1206293686166,108.02465133228922
carrier_supplier,0,484.4920711177733,219.6736632203121
carrier_supplier,1,200.971733609594,116.89704891929415
carrier_supplier,2,348.3821736818253,202.38823856087615
carrier_supplier,3,555.9164151746485,154.3947719294443
carrier_supplier,4,37.52572134024366,237.0072158340256
carrier_supplier,5,144.66698793491668,161.77805956059865
carrier_supplier,6,616.4305806568445,209.0473429884707
carrier_supplier,7,124.25302490544331,108.56422478522308
carrier_supplier,8,96.20922165323776,139.09605802398346
carrier_supplier,9,113.52804968819726,170.05542405296188
demand_point,0,298.2497145971459,174.3569593685551
demand_point,1,537.4287566062038,96.91535819897052
demand_point,2,505.12745006482294,110.50596431901423
demand_point,3,786.1490497056008,105.60128803304302
demand_point,4,254.17991199528652,223.85941460544365
demand_point,5,322.52896377763074,237.84135698139988
demand_point,6,166.4243137759918,193.6621125315908
demand_point,7,600.4117800413126,198.2097861559991
demand_point,8,193.4866587900096,128.03128446313116
demand_point,9,521.7011208250522,204.83671110242693
demand_point,10,87.86156833808812,185.91919491632973
demand_point,11,455.6273918860158,183.96300562365275
demand_point,12,395.2517301626867,83.3242296022011
demand_point,13,110.38343052606379,132.0205451283141
demand_point,14,331.08156751334593,208.83987517639616
demand_point,15,543.0512918003028,104.00866323286357
demand_point,16,39.227764890601,125.14008351816432
demand_point,17,443.1217104703942,159.55073011261888
demand_point,18,474.0015371634093,195.61687853564715
demand_point,19,669.2269535066246,123.91990864338972
