disaster_scenario_id,trajectory_id,intensity_level,intensity_rate,demand_point_id,period,delta_hours,newly_affected_population,nominal_demand
0,0,1,0.025,0,1,30,235,2115
0,0,1,0.025,0,2,24,479,4311
0,0,1,0.025,0,3,18,235,2115
9,0,2,0.05,0,1,30,469,4221
9,0,2,0.05,0,2,24,959,8631
9,0,2,0.05,0,3,18,469,4221
18,0,3,0.075,0,1,30,704,6336
18,0,3,0.075,0,2,24,1438,12942
18,0,3,0.075,0,3,18,704,6336
27,0,4,0.125,0,1,30,1173,10557
27,0,4,0.125,0,2,24,2397,21573
27,0,4,0.125,0,3,18,1173,10557
36,0,5,0.25,0,1,30,2346,21114
36,0,5,0.25,0,2,24,4794,43146
36,0,5,0.25,0,3,18,2346,21114
0,0,1,0.025,1,1,30,132,1188
0,0,1,0.025,1,2,24,269,2421
0,0,1,0.025,1,3,18,132,1188
9,0,2,0.05,1,1,30,263,2367
9,0,2,0.05,1,2,24,538,4842
9,0,2,0.05,1,3,18,263,2367
18,0,3,0.075,1,1,30,395,3555
18,0,3,0.075,1,2,24,808,7272
18,0,3,0.075,1,3,18,395,3555
27,0,4,0.125,1,1,30,659,5931
27,0,4,0.125,1,2,24,1346,12114
27,0,4,0.125,1,3,18,659,5931
36,0,5,0.25,1,1,30,1317,11853
36,0,5,0.25,1,2,24,2692,24228
36,0,5,0.25,1,3,18,1317,11853
0,0,1,0.025,2,1,30,176,1584
0,0,1,0.025,2,2,24,359,3231
0,0,1,0.025,2,3,18,176,1584
9,0,2,0.05,2,1,30,352,3168
9,0,2,0.05,2,2,24,719,6471
9,0,2,0.05,2,3,18,352,3168
18,0,3,0.075,2,1,30,528,4752
18,0,3,0.075,2,2,24,1078,9702
18,0,3,0.075,2,3,18,528,4752
27,0,4,0.125,2,1,30,880,7920
27,0,4,0.125,2,2,24,1797,16173
27,0,4,0.125,2,3,18,880,7920
36,0,5,0.25,2,1,30,1759,15831
36,0,5,0.25,2,2,24,3594,32346
36,0,5,0.25,2,3,18,1759,15831
0,0,1,0.025,4,1,30,71,639
0,0,1,0.025,4,2,24,146,1314
0,0,1,0.025,4,3,18,71,639
9,0,2,0.05,4,1,30,143,1287
9,0,2,0.05,4,2,24,292,2628
9,0,2,0.05,4,3,18,143,1287
18,0,3,0.075,4,1,30,214,1926
18,0,3,0.075,4,2,24,438,3942
18,0,3,0.075,4,3,18,214,1926
27,0,4,0.125,4,1,30,357,3213
27,0,4,0.125,4,2,24,729,6561
27,0,4,0.125,4,3,18,357,3213
36,0,5,0.25,4,1,30,714,6426
36,0,5,0.25,4,2,24,1458,13122
36,0,5,0.25,4,3,18,714,6426
0,0,1,0.025,5,1,30,31,279
0,0,1,0.025,5,2,24,64,576
0,0,1,0.025,5,3,18,31,279
9,0,2,0.05,5,1,30,63,567
9,0,2,0.05,5,2,24,129,1161
9,0,2,0.05,5,3,18,63,567
18,0,3,0.075,5,1,30,94,846
18,0,3,0.075,5,2,24,193,1737
18,0,3,0.075,5,3,18,94,846
27,0,4,0.125,5,1,30,157,1413
27,0,4,0.125,5,2,24,322,2898
27,0,4,0.125,5,3,18,157,1413
36,0,5,0.25,5,1,30,315,2835
36,0,5,0.25,5,2,24,643,5787
36,0,5,0.25,5,3,18,315,2835
0,0,1,0.025,6,1,30,59,531
0,0,1,0.025,6,2,24,120,1080
0,0,1,0.025,6,3,18,59,531
9,0,2,0.05,6,1,30,118,1062
9,0,2,0.05,6,2,24,241,2169
9,0,2,0.05,6,3,18,118,1062
18,0,3,0.075,6,1,30,177,1593
18,0,3,0.075,6,2,24,361,3249
18,0,3,0.075,6,3,18,177,1593
27,0,4,0.125,6,1,30,295,2655
27,0,4,0.125,6,2,24,602,5418
27,0,4,0.125,6,3,18,295,2655
36,0,5,0.25,6,1,30,590,5310
36,0,5,0.25,6,2,24,1205,10845
36,0,5,0.25,6,3,18,590,5310
0,0,1,0.025,7,1,30,273,2457
0,0,1,0.025,7,2,24,559,5031
0,0,1,0.025,7,3,18,273,2457
9,0,2,0.05,7,1,30,547,4923
9,0,2,0.05,7,2,24,1117,10053
9,0,2,0.05,7,3,18,547,4923
18,0,3,0.075,7,1,30,820,7380
18,0,3,0.075,7,2,24,1676,15084
18,0,3,0.075,7,3,18,820,7380
27,0,4,0.125,7,1,30,1367,12303
27,0,4,0.125,7,2,24,2793,25137
27,0,4,0.125,7,3,18,1367,12303
36,0,5,0.25,7,1,30,2734,24606
36,0,5,0.25,7,2,24,5586,50274
36,0,5,0.25,7,3,18,2734,24606
0,0,1,0.025,8,1,30,128,1152
0,0,1,0.025,8,2,24,261,2349
0,0,1,0.025,8,3,18,128,1152
9,0,2,0.05,8,1,30,255,2295
9,0,2,0.05,8,2,24,522,4698
9,0,2,0.05,8,3,18,255,2295
18,0,3,0.075,8,1,30,383,3447
18,0,3,0.075,8,2,24,783,7047
18,0,3,0.075,8,3,18,383,3447
27,0,4,0.125,8,1,30,639,5751
27,0,4,0.125,8,2,24,1305,11745
27,0,4,0.125,8,3,18,639,5751
36,0,5,0.25,8,1,30,1277,11493
36,0,5,0.25,8,2,24,2610,23490
36,0,5,0.25,8,3,18,1277,11493
0,0,1,0.025,9,1,30,219,1971
0,0,1,0.025,9,2,24,448,4032
0,0,1,0.025,9,3,18,219,1971
9,0,2,0.05,9,1,30,438,3942
9,0,2,0.05,9,2,24,895,8055
9,0,2,0.05,9,3,18,438,3942
18,0,3,0.075,9,1,30,657,5913
18,0,3,0.075,9,2,24,1343,12087
18,0,3,0.075,9,3,18,657,5913
27,0,4,0.125,9,1,30,1096,9864
27,0,4,0.125,9,2,24,2239,20151
27,0,4,0.125,9,3,18,1096,9864
36,0,5,0.25,9,1,30,2191,19719
36,0,5,0.25,9,2,24,4477,40293
36,0,5,0.25,9,3,18,2191,19719
0,0,1,0.025,11,1,30,160,1440
0,0,1,0.025,11,2,24,327,2943
0,0,1,0.025,11,3,18,160,1440
9,0,2,0.05,11,1,30,321,2889
9,0,2,0.05,11,2,24,655,5895
9,0,2,0.05,11,3,18,321,2889
18,0,3,0.075,11,1,30,481,4329
18,0,3,0.075,11,2,24,982,8838
18,0,3,0.075,11,3,18,481,4329
27,0,4,0.125,11,1,30,801,7209
27,0,4,0.125,11,2,24,1637,14733
27,0,4,0.125,11,3,18,801,7209
36,0,5,0.25,11,1,30,1603,14427
36,0,5,0.25,11,2,24,3275,29475
36,0,5,0.25,11,3,18,1603,14427
0,0,1,0.025,12,1,30,106,954
0,0,1,0.025,12,2,24,217,1953
0,0,1,0.025,12,3,18,106,954
9,0,2,0.05,12,1,30,213,1917
9,0,2,0.05,12,2,24,435,3915
9,0,2,0.05,12,3,18,213,1917
18,0,3,0.075,12,1,30,319,2871
18,0,3,0.075,12,2,24,652,5868
18,0,3,0.075,12,3,18,319,2871
27,0,4,0.125,12,1,30,532,4788
27,0,4,0.125,12,2,24,1087,9783
27,0,4,0.125,12,3,18,532,4788
36,0,5,0.25,12,1,30,1064,9576
36,0,5,0.25,12,2,24,2174,19566
36,0,5,0.25,12,3,18,1064,9576
0,0,1,0.025,13,1,30,166,1494
0,0,1,0.025,13,2,24,340,3060
0,0,1,0.025,13,3,18,166,1494
9,0,2,0.05,13,1,30,333,2997
9,0,2,0.05,13,2,24,680,6120
9,0,2,0.05,13,3,18,333,2997
18,0,3,0.075,13,1,30,499,4491
18,0,3,0.075,13,2,24,1020,9180
18,0,3,0.075,13,3,18,499,4491
27,0,4,0.125,13,1,30,832,7488
27,0,4,0.125,13,2,24,1699,15291
27,0,4,0.125,13,3,18,832,7488
36,0,5,0.25,13,1,30,1664,14976
36,0,5,0.25,13,2,24,3399,30591
36,0,5,0.25,13,3,18,1664,14976
0,0,1,0.025,14,1,30,272,2448
0,0,1,0.025,14,2,24,556,5004
0,0,1,0.025,14,3,18,272,2448
9,0,2,0.05,14,1,30,544,4896
9,0,2,0.05,14,2,24,1112,10008
9,0,2,0.05,14,3,18,544,4896
18,0,3,0.075,14,1,30,816,7344
18,0,3,0.075,14,2,24,1668,15012
18,0,3,0.075,14,3,18,816,7344
27,0,4,0.125,14,1,30,1360,12240
27,0,4,0.125,14,2,24,2780,25020
27,0,4,0.125,14,3,18,1360,12240
36,0,5,0.25,14,1,30,2721,24489
36,0,5,0.25,14,2,24,5559,50031
36,0,5,0.25,14,3,18,2721,24489
0,0,1,0.025,15,1,30,236,2124
0,0,1,0.025,15,2,24,482,4338
0,0,1,0.025,15,3,18,236,2124
9,0,2,0.05,15,1,30,472,4248
9,0,2,0.05,15,2,24,964,8676
9,0,2,0.05,15,3,18,472,4248
18,0,3,0.075,15,1,30,707,6363
18,0,3,0.075,15,2,24,1446,13014
18,0,3,0.075,15,3,18,707,6363
27,0,4,0.125,15,1,30,1179,10611
27,0,4,0.125,15,2,24,2409,21681
27,0,4,0.125,15,3,18,1179,10611
36,0,5,0.25,15,1,30,2358,21222
36,0,5,0.25,15,2,24,4818,43362
36,0,5,0.25,15,3,18,2358,21222
0,0,1,0.025,17,1,30,246,2214
0,0,1,0.025,17,2,24,502,4518
0,0,1,0.025,17,3,18,246,2214
9,0,2,0.05,17,1,30,491,4419
9,0,2,0.05,17,2,24,1003,9027
9,0,2,0.05,17,3,18,491,4419
18,0,3,0.075,17,1,30,737,6633
18,0,3,0.075,17,2,24,1505,13545
18,0,3,0.075,17,3,18,737,6633
27,0,4,0.125,17,1,30,1228,11052
27,0,4,0.125,17,2,24,2509,22581
27,0,4,0.125,17,3,18,1228,11052
36,0,5,0.25,17,1,30,2456,22104
36,0,5,0.25,17,2,24,5017,45153
36,0,5,0.25,17,3,18,2456,22104
0,0,1,0.025,18,1,30,234,2106
0,0,1,0.025,18,2,24,477,4293
0,0,1,0.025,18,3,18,234,2106
9,0,2,0.05,18,1,30,467,4203
9,0,2,0.05,18,2,24,955,8595
9,0,2,0.05,18,3,18,467,4203
18,0,3,0.075,18,1,30,701,6309
18,0,3,0.075,18,2,24,1432,12888
18,0,3,0.075,18,3,18,701,6309
27,0,4,0.125,18,1,30,1168,10512
27,0,4,0.125,18,2,24,2387,21483
27,0,4,0.125,18,3,18,1168,10512
36,0,5,0.25,18,1,30,2337,21033
36,0,5,0.25,18,2,24,4774,42966
36,0,5,0.25,18,3,18,2337,21033
1,1,1,0.025,0,1,30,235,2115
1,1,1,0.025,0,2,24,479,4311
1,1,1,0.025,0,3,18,235,2115
10,1,2,0.05,0,1,30,469,4221
